solvent_name_1,solvent_name_2,solvent_name_3,cas_number,chemical_formula,smiles,source
ethyl 3-oxobutanoate,ethylacetoacetate,,141-97-9,C6H10O3,CCOC(=O)CC(C)=O,https://doi.org/10.1039/C9SC01844A
ethyl acetate,ethylacetate,,141-78-6,C4H8O2,CCOC(C)=O,https://doi.org/10.1039/C9SC01844A
ethyl benzoate,ethylbenzoate,,93-89-0,C9H10O2,CCOC(=O)c1ccccc1,https://doi.org/10.1039/C9SC01844A
ethyl butanoate,ethylbutyrate,,105-54-4,C6H12O2,CCCC(=O)OCC,https://doi.org/10.1039/C9SC01844A
ethyl chloroacetate,ethylchloroacetate,,105-39-5,C4H7ClO2,CCOC(=O)CCl,https://doi.org/10.1039/C9SC01844A
ethyl cyanoacetate,cyanoaceticacidethylester,,105-56-6,C5H7NO2,CCOC(=O)CC#N,https://doi.org/10.1039/C9SC01844A
ethyl formate,ethylformate,,109-94-4,C3H6O2,CCOC=O,https://doi.org/10.1039/C9SC01844A
ethyl hexanoate,ethylhexanoate,,123-66-0,C8H16O2,CCCCCC(=O)OCC,https://doi.org/10.1039/C9SC01844A
ethyl isothiocyanate,ethylisothiocyanate,,542-85-8,C3H5NS,CCN=C=S,https://doi.org/10.1039/C9SC01844A
ethyl nitrate,ethylnitrate,,625-58-1,C2H5NO3,CCO[N+]([O-])=O,https://doi.org/10.1039/C9SC01844A
ethyl propanoate,ethylpropionate,,105-37-3,C5H10O2,CCOC(=O)CC,https://doi.org/10.1039/C9SC01844A
ethyl salicylate,ethyl-2-hydroxybenzoate,,118-61-6,C9H10O3,CCOC(=O)c1ccccc1O,https://doi.org/10.1039/C9SC01844A
ethyl thiocyanate,ethylthiocyanate,,542-90-5,C3H5NS,CCSC#N,https://doi.org/10.1039/C9SC01844A
ethylbenzene,,,100-41-4,C8H10,CCc1ccccc1,https://doi.org/10.1039/C9SC01844A
ethynylbenzene,,,536-74-3,C8H6,C#Cc1ccccc1,https://doi.org/10.1039/C9SC01844A
fluorobenzene,,,462-06-6,C6H5F,Fc1ccccc1,https://doi.org/10.1039/C9SC01844A
formamide,,,75-12-7,CH3NO,NC=O,https://doi.org/10.1039/C9SC01844A
formic acid,formicacid,,64-18-6,CH2O2,OC=O,https://doi.org/10.1039/C9SC01844A
furan,1-ethynylcyclohexanol,,110-00-9,C4H4O,o1cccc1,https://doi.org/10.1039/C9SC01844A
furfural,,,98-01-1,C5H4O2,O=Cc1occc1,https://doi.org/10.1039/C9SC01844A
heptanal,,,111-71-7,C7H14O,CCCCCCC=O,https://doi.org/10.1039/C9SC01844A
heptane,n-heptane,,142-82-5,C7H16,CCCCCCC,https://doi.org/10.1039/C9SC01844A
heptanol,1-heptanol,,111-70-6,C7H16O,CCCCCCCO,https://doi.org/10.1039/C9SC01844A
hexadecane,n-hexadecane,,544-76-3,C16H34,CCCCCCCCCCCCCCCC,https://doi.org/10.1039/C9SC01844A
hexafluorobenzene,,,392-56-3,C6F6,Fc1c(F)c(F)c(F)c(F)c1F,https://doi.org/10.1039/C9SC01844A
hexamethylphosphoramide,,,680-31-9,C6H18N3OP,CN(C)[P](=O)(N(C)C)N(C)C,https://doi.org/10.1039/C9SC01844A
hexane,,,110-54-3,C6H14,CCCCCC,https://doi.org/10.1039/C9SC01844A
hexanenitrile,,,628-73-9,C6H11N,CCCCCC#N,https://doi.org/10.1039/C9SC01844A
hexanoic acid,n-hexanoicacid,,142-62-1,C6H12O2,CCCCCC(O)=O,https://doi.org/10.1039/C9SC01844A
hexanol,1-hexanol,,111-27-3,C6H14O,CCCCCCO,https://doi.org/10.1039/C9SC01844A
hexyl acetate,n-hexylacetate,,142-92-7,C8H16O2,CCCCCCOC(C)=O,https://doi.org/10.1039/C9SC01844A
hexylamine,,,111-26-2,C6H15N,CCCCCCN,https://doi.org/10.1039/C9SC01844A
iodobenzene,,,591-50-4,C6H5I,Ic1ccccc1,https://doi.org/10.1039/C9SC01844A
iodoethane,,,75-03-6,C2H5I,CCI,https://doi.org/10.1039/C9SC01844A
iodomethane,CH3I,,74-88-4,CH3I,CI,https://doi.org/10.1039/C9SC01844A
isoprene,,,78-79-5,C5H8,CC(=C)C=C,https://doi.org/10.1039/C9SC01844A
isopropylamine,,,75-31-0,C3H9N,CC(C)N,https://doi.org/10.1039/C9SC01844A
isoquinoline,,,119-65-3,C9H7N,c1ccc2cnccc2c1,https://doi.org/10.1039/C9SC01844A
methoxybenzene,anisole,,100-66-3,C7H8O,COc1ccccc1,https://doi.org/10.1039/C9SC01844A
methyl 2-hydroxybenzoate,2-hydroxy-benzoicacidmethylester,,119-36-8,C8H8O3,COC(=O)c1ccccc1O,https://doi.org/10.1039/C9SC01844A
methyl 2-propenoate,methylacrylate,,96-33-3,C4H6O2,COC(=O)C=C,https://doi.org/10.1039/C9SC01844A
methyl acetate,methylacetate,,79-20-9,C3H6O2,COC(C)=O,https://doi.org/10.1039/C9SC01844A
methyl benzoate,methylbenzoate,,93-58-3,C8H8O2,COC(=O)c1ccccc1,https://doi.org/10.1039/C9SC01844A
methyl butanoate,methylbutyrate,,623-42-7,C5H10O2,CCCC(=O)OC,https://doi.org/10.1039/C9SC01844A
