,stenutz_name,cosmo_name,other_name,cas_number,chemical_formula,smiles
26,"1,2-dichloroethane","1,2-dichloroethane",,107-06-2,C2H4Cl2,ClCCCl
27,"1,2-dichloropropane","1,2-dichloropropane",,78-87-5,C3H6Cl2,CC(Cl)CCl
28,"1,2-difluorobenzene",o-difluorobenzene,,367-11-3,C6H4F2,Fc1ccccc1F
29,"1,2-dimethoxybenzene","1,2-dimethoxybenzene",,91-16-7,C8H10O2,COc1ccccc1OC
30,"1,2-dimethoxyethane","1,2-dimethoxyethane",,110-71-4,C4H10O2,COCCOC
31,"1,2-dimethylbenzene","1,2-dimethylbenzene",,95-47-6,C8H10,Cc1ccccc1C
32,"1,2-diphenylethane","1,1'-(1,2-ethanediyl)bis-benzene",,103-29-7,C14H14,C(Cc1ccccc1)c2ccccc2
33,"1,2-propanediol",propyleneglycol,,57-55-6,C3H8O2,CC(O)CO
34,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","1,8-cineole",,470-82-6,C10H18O,CC12CCC(CC1)C(C)(C)O2
35,"1,3,5-trimethylbenzene","1,3,5-trimethylbenzene",,108-67-8,C9H12,Cc1cc(C)cc(C)c1
36,"1,3-cyclohexadiene","1,3-cyclohexadiene",,592-57-4,C6H8,C1CC=CC=C1
37,"1,3-dibromobenzene","1,3-dibromobenzene",,108-36-1,C6H4Br2,Brc1cccc(Br)c1
38,"1,3-dichlorobenzene","1,3-dichlorobenzene",,541-73-1,C6H4Cl2,Clc1cccc(Cl)c1
39,"1,3-dichloropropane","1,3-dichloropropane",,142-28-9,C3H6Cl2,ClCCCCl
40,"1,3-difluorobenzene",m-difluorobenzene,,372-18-9,C6H4F2,Fc1cccc(F)c1
41,"1,3-dimethylbenzene","1,3-dimethylbenzene",,108-38-3,C8H10,Cc1cccc(C)c1
42,"1,3-dimethyltetrahydropyrimidin-2(1H)-one","1,3-dimethyltetrahydropyrimidin-2(1h)-one",,7226-23-5,C6H12N2O,CN1CCCN(C)C1=O
43,"1,3-dioxolan-2-one","1,3-dioxolan-2-one",,96-49-1,C3H4O3,O=C1OCCO1
44,"1,4-cyclohexadiene","1,4-cyclohexadiene",,628-41-1,C6H8,C1C=CCC=C1
